ImageNumber,Image_Metadata_GeneSymbol,Image_Metadata_AlleleDesc
17997,EMPTY,
17614,EMPTY,
17734,EMPTY,
18247,EMPTY,
18287,EMPTY,
18297,EMPTY,
18292,EMPTY,
18476,EMPTY,
17993,EMPTY,
18471,EMPTY,
18252,EMPTY,
17620,EMPTY,
18282,EMPTY,
17834,EMPTY,
17998,EMPTY,
18536,YAP1,WT.1
17739,EMPTY,
17735,EMPTY,
17615,EMPTY,
18248,EMPTY,
18293,EMPTY,
18288,EMPTY,
17830,EMPTY,
18477,EMPTY,
18571,YAP1,WT.2
18576,YAP1,WT.2
18472,EMPTY,
17835,EMPTY,
17994,EMPTY,
17999,EMPTY,
18283,EMPTY,
18532,YAP1,WT.1
18537,YAP1,WT.1
18249,EMPTY,
18294,EMPTY,
18706,EMPTY,
18711,EMPTY,
18244,EMPTY,
18289,EMPTY,
18572,YAP1,WT.2
18473,EMPTY,
18000,EMPTY,
18533,YAP1,WT.1
17995,EMPTY,
18538,YAP1,WT.1
18851,EMPTY,
18876,YAP1,WT.3
18284,EMPTY,
18250,EMPTY,
18295,EMPTY,
18881,YAP1,WT.3
18896,YAP1,WT.4
18707,EMPTY,
18245,EMPTY,
18290,EMPTY,
18573,YAP1,WT.2
18956,EMPTY,
18961,EMPTY,
18474,EMPTY,
18534,YAP1,WT.1
18568,YAP1,WT.2
18469,EMPTY,
18280,EMPTY,
18539,YAP1,WT.1
18852,EMPTY,
18703,EMPTY,
18877,YAP1,WT.3
18847,EMPTY,
19061,EMPTY,
19056,EMPTY,
18285,EMPTY,
18882,YAP1,WT.3
18897,YAP1,WT.4
18708,EMPTY,
19176,WWTR1,WT
18574,YAP1,WT.2
19171,WWTR1,WT
19211,EMPTY,
18962,EMPTY,
18892,YAP1,WT.4
18957,EMPTY,
18475,EMPTY,
19236,EMPTY,
18535,YAP1,WT.1
18853,EMPTY,
18540,YAP1,WT.1
19241,EMPTY,
18569,YAP1,WT.2
18848,EMPTY,
18470,EMPTY,
18704,EMPTY,
19062,EMPTY,
18878,YAP1,WT.3
18898,YAP1,WT.4
19057,EMPTY,
19336,EMPTY,
19207,EMPTY,
18709,EMPTY,
19177,WWTR1,WT
18575,YAP1,WT.2
19341,EMPTY,
19212,EMPTY,
19172,WWTR1,WT
18963,EMPTY,
19237,EMPTY,
18958,EMPTY,
18893,YAP1,WT.4
18854,EMPTY,
18570,YAP1,WT.2
19242,EMPTY,
18849,EMPTY,
18705,EMPTY,
18879,YAP1,WT.3
18874,YAP1,WT.3
19337,EMPTY,
19058,EMPTY,
19208,EMPTY,
18899,YAP1,WT.4
18710,EMPTY,
19213,EMPTY,
19178,WWTR1,WT
19238,EMPTY,
18959,EMPTY,
18894,YAP1,WT.4
18855,EMPTY,
19173,WWTR1,WT
19054,EMPTY,
18850,EMPTY,
18880,YAP1,WT.3
19059,EMPTY,
19209,EMPTY,
19338,EMPTY,
18875,YAP1,WT.3
19333,EMPTY,
18900,YAP1,WT.4
19214,EMPTY,
19179,WWTR1,WT
19239,EMPTY,
